State,Court,"Court Type"
California,"Family Court","California Superior Court Los Angeles - Family Law"
California,"Family Court","California Superior Court Orange - Family Law"
California,"Family Court","California Superior Court Riverside - Family Law"
California,"Family Court","California Superior Court San Bernardino - Family Law"
California,"Family Court","California Superior Court San Diego - Family Law"
California,"Probate Court","California Superior Court Los Angeles - Probate"
California,"Probate Court","California Superior Court Orange County - Probate"
California,"Probate Court","California Superior Court Riverside - Probate"
California,"Probate Court","California Superior Court San Bernardino - Probate"
California,"Probate Court","California Superior Court San Diego - Probate"
California,Specialty,"California Superior Court Los Angeles - Unlimited Civil Personal Injury Case (Central District)"
California,Specialty,"California Superior Court Los Angeles - Unlimited Civil Personal Injury Case (North District)"
California,Specialty,"California Superior Court Orange - Complex Civil Litigation"
California,Specialty,"California Superior Court San Bernardino - Complex Cases"
California,"Superior Court","California Superior Court Los Angeles"
California,"Superior Court","California Superior Court Los Angeles - Limited Jurisdiction (Non-Collections)"
California,"Superior Court","California Superior Court Orange"
California,"Superior Court","California Superior Court Orange (Local Rules - Judge Franz E. Miller, Dept C14)"
California,"Superior Court","California Superior Court Orange - Limited Jurisdiction"
California,"Superior Court","California Superior Court Riverside"
California,"Superior Court","California Superior Court Riverside County - Limited Jurisdiction"
California,"Superior Court","California Superior Court San Bernardino"
California,"Superior Court","California Superior Court San Bernardino - Limited Jurisdiction"
California,"Superior Court","California Superior Court San Diego"
California,"Superior Court","California Superior Court San Diego - Limited Jurisdiction"
